NAV_PERMS,FA Manager 3,Clean_NAV,TO_CHAR(A.PORTAL_NAVPATH),ITEMLABEL,Unnamed: 2,Menu,Menubar,MENUITEM2,Page,Display only,Actions,7,OBJECTOWNERID,XLATLONGNAME,XLATSHORTNAME,COMPONENT,PNLNAME,PORTAL_OBJNAME
Main Menu>Financial Aid>Loans>Commonline Management>Maintain CL Disbursements:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Maintain CL Disbursements,Main Menu>Financial Aid>Loans>Commonline Management>Maintain CL Disbursements,CL Disbursement  Maintenance,,PROCESS_LOANS,USE,LOAN_FUND_MAINT,LOAN_DISB_MAINT,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_FUND_MAINT,LOAN_FUND_MAINT,HC_LOAN_FUND_MAINT_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>Review Manifest Batches:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Review Manifest Batches,Main Menu>Financial Aid>Loans>Direct Lending Management>Review Manifest Batches,Loan Manifest,,PROCESS_LOANS,USE,LOAN_MANIFEST01,LOAN_MANIFEST,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_MANIFEST01,LOAN_MANIFEST,HC_LOAN_MANIFEST01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Application &Acknowledgement,,PROCESS_LOANS,USE,LOAN_ORIG_DL_01,LOAN_ORIG_STAT_DL0,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_DL_01,LOAN_ORIG_STAT_DL0,HC_LOAN_ORIG_DL_01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Application &Bio/Demo,,PROCESS_LOANS,USE,LOAN_ORIG_DL_01,LOAN_ORIG_DMO_DL01,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_DL_01,LOAN_ORIG_DMO_DL01,HC_LOAN_ORIG_DL_01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Application &Financial,,PROCESS_LOANS,USE,LOAN_ORIG_DL_01,LOAN_ORIG_FIN_DL01,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_DL_01,LOAN_ORIG_FIN_DL01,HC_LOAN_ORIG_DL_01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Application &Misc Data,,PROCESS_LOANS,USE,LOAN_ORIG_DL_01,LOAN_ORIG_ELG_DL01,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_DL_01,LOAN_ORIG_ELG_DL01,HC_LOAN_ORIG_DL_01_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application,Loan Orig Work,,PROCESS_LOANS,USE,LOAN_ORIG_DL_01,LOAN_ORIG_WORK,0,2,2,SFA,Financial Aid,Fin Aid,LOAN_ORIG_DL_01,LOAN_ORIG_WORK,HC_LOAN_ORIG_DL_01_GBL
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>View Direct Loan Change Fields:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>View Direct Loan Change Fields,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>View Direct Loan Change Fields,DL Chg Field & Cross Reference,,PROCESS_LOANS,INQUIRE,DL_CHG_FIELD_XREF,DL_CHG_XREF,0,2,2,SFA,Financial Aid,Fin Aid,DL_CHG_FIELD_XREF,DL_CHG_XREF,HC_DL_CHG_FIELD_XREF_GBL
Main Menu>Financial Aid>Loans>Direct Lending Management>View Promissory Note Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Promissory Note Actions,Main Menu>Financial Aid>Loans>Direct Lending Management>View Promissory Note Actions,Direct Loan PNote Action,,PROCESS_LOANS,INQUIRE,LN_DL_PNOTE_INQ,LN_DL_PNOTE_INQ,0,2,2,SFA,Financial Aid,Fin Aid,LN_DL_PNOTE_INQ,LN_DL_PNOTE_INQ,HC_LN_DL_PNOTE_INQ_GBL
Main Menu>Financial Aid>Loans>Commonline Management>Review Hold/Release Errors:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Review Hold/Release Errors,Main Menu>Financial Aid>Loans>Commonline Management>Review Hold/Release Errors,Hold/Release Messages,,PROCESS_LOANS,INQUIRE,LN_HR_MSG_LOG,LN_HR_MSG_LOG,0,2,2,SFA,Financial Aid,Fin Aid,LN_HR_MSG_LOG,LN_HR_MSG_LOG,HC_LN_HR_MSG_LOG_GBL
