NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>INST Mass Packaging by Query:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>INST Mass Packaging by Query
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>INST Mass Packaging Students:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>INST Mass Packaging Students
Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>INST Mass Packaging by Plan:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>FA Hidden Components>INST Mass Packaging by Plan
Main Menu>Financial Aid>Federal Application Data>FM Test Harness:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>FM Test Harness
Main Menu>Financial Aid>Institutional Application Data>IM Test Harness:0:Update/Display,x,Main Menu>Financial Aid>Institutional Application Data>IM Test Harness
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Pell Table Load:1:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Pell Table Load
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Pell Table Compare:1:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Pell Table Compare
Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define Evaluation Aid Year:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Satisfactory Academic Progress>Define Evaluation Aid Year
Main Menu>Financial Aid>Satisfactory Academic Progress>Review Report Data:0:Update/Display,x,Main Menu>Financial Aid>Satisfactory Academic Progress>Review Report Data
Main Menu>Records and Enrollment>Career and Program Information>View Student Groups by Student:0:Update/Display,x,Main Menu>Records and Enrollment>Career and Program Information>View Student Groups by Student
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process Variables:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process Variables
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>File Name Template:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>File Name Template
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process System Definitions:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process System Definitions
Main Menu>CAL Components>Utilities>Import/Export Service>Export>Export:0:Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Export>Export
Main Menu>CAL Components>Utilities>Import/Export Service>Import>Import:0:Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Import>Import
Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Review Import/Export Logs:0:Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Review Import/Export Logs
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process Configuration:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process Configuration
Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Inquire Process Summary:0:Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>Review Logs/Locks>Inquire Process Summary
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>File Directory Template:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>File Directory Template
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>FTP Command:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>FTP Command
Main Menu>CAL Components>Utilities>Import/Export Service>File Transfer:0:Update/Display,x,Main Menu>CAL Components>Utilities>Import/Export Service>File Transfer
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Import/Export Objects:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Import/Export Objects
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Import/Export Mapping:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Import/Export Mapping
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process Definition:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Process Definition
Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Database Triggers:1:Update/Display,x,Main Menu>CAL Components>Utilities>Administration>Import/Export Config>Database Triggers
Main Menu>CAL Components>Financial Aid>ACS>Configure ACS:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>ACS>Configure ACS
Main Menu>CAL Components>Financial Aid>Academic Participation>Student AP Confirmation Review:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Academic Participation>Student AP Confirmation Review
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Budget Group Setup:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Budget Group Setup
Main Menu>CAL Components>Financial Aid>ISIR QA Verification>ISIR QA Test Setup:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>ISIR QA Verification>ISIR QA Test Setup
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Summer Term Aid Year Setup:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Summer Term Aid Year Setup
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Title IV Setup:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Title IV Setup
Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Terms and Conditions Setup:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Self-Service>Administration Pages>Terms and Conditions Setup
Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Type Crosswalk:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Personal Profile>Housing Type Crosswalk
Main Menu>CAL Components>Financial Aid>Self-Service>Fluid>Housing Type:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>Self-Service>Fluid>Housing Type
Main Menu>Campus Community>Task Management Work Center:0:Update/Display,x,Main Menu>Campus Community>Task Management Work Center
Main Menu>Campus Community>Task Management>Task List:0:Update/Display,x,Main Menu>Campus Community>Task Management>Task List
Main Menu>Campus Community>Task Management>View Agreements:0:Update/Display,x,Main Menu>Campus Community>Task Management>View Agreements
Main Menu>Campus Community>Comments>Comments - Person>Person Comment Entry:0:Add Update/Display,x,Main Menu>Campus Community>Comments>Comments - Person>Person Comment Entry
Main Menu>SCI Enhancements>Communication Center>Message Installation Table:0:Add Update/Display,x,Main Menu>SCI Enhancements>Communication Center>Message Installation Table
Main Menu>SCI Enhancements>Communication Center>Message Expiration Process:0:Add Update/Display,x,Main Menu>SCI Enhancements>Communication Center>Message Expiration Process
Main Menu>Campus Community>Communications>Run 3C Engine:0:Add Update/Display,x,Main Menu>Campus Community>Communications>Run 3C Engine
Main Menu>Campus Community>Communications>Communication Generation:0:Add Update/Display,x,Main Menu>Campus Community>Communications>Communication Generation
Main Menu>Campus Community>Communications>Person Communications>Communication Management:0:Add Update/Display,x,Main Menu>Campus Community>Communications>Person Communications>Communication Management
Main Menu>Campus Community>Communications>Organization Communications>Communication - Organization:0:Add Update/Display,x,Main Menu>Campus Community>Communications>Organization Communications>Communication - Organization
Main Menu>Financial Aid>Aid Year Activation>Process Financial Aid Years:0:Add Update/Display,x,Main Menu>Financial Aid>Aid Year Activation>Process Financial Aid Years
Main Menu>Financial Aid>Financial Aid Term>Update FA Progress Units:0:Add Update/Display,x,Main Menu>Financial Aid>Financial Aid Term>Update FA Progress Units
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Output Suspense:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Output Suspense
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Suspense:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Cal Grant Suspense
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Student Consent for Upld GPA:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Use>Student Consent for Upld GPA
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Correction Reporting:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Correction Reporting
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Payment Reporting:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Payment Reporting
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Outbound MCS Roster Changes:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Outbound MCS Roster Changes
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Process>Cal ISIR Inbound:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Process>Cal ISIR Inbound
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Process>Cal ISIR Load:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Process>Cal ISIR Load
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run Award Status Response:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run Award Status Response
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run School Change Extract:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run School Change Extract
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Cal Grant 3C Event Process:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Cal Grant 3C Event Process
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run Cal Grant Extract Snd File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run Cal Grant Extract Snd File
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Load Cal Grant Changes:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Load Cal Grant Changes
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>CSAC Accept/Reject Data Load:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>CSAC Accept/Reject Data Load
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Load Cal Grant Output Susp:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Load Cal Grant Output Susp
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Create Cal Grant Output:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Create Cal Grant Output
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Import Cal Grant Roster:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Import Cal Grant Roster
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Load Cal Grant Update:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Load Cal Grant Update
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Cal Grant Search/Match:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Cal Grant Search/Match
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run HS Confirmation File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run HS Confirmation File
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run Reconciliation:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Run Reconciliation
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Run MCS Admissions Selection:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Run MCS Admissions Selection
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Run MCS Enrollment Selection:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Run MCS Enrollment Selection
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Export MCS Adm/Enroll File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Export MCS Adm/Enroll File
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Export MCS Change File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Export MCS Change File
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Create Adm/Enroll File Data:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Create Adm/Enroll File Data
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Load MCS Roster:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Load MCS Roster
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Import MCS Roster File:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>Import MCS Roster File
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Roster Validation:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Roster Validation
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Search/Match:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Process>MCS Search/Match
Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Cal Grant Predictor:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal Grant>Cal Grant Process>Cal Grant Predictor
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Setup>Cal ISIR Comment Codes:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Setup>Cal ISIR Comment Codes
Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Setup>Middle Class Scholarship Setup:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal MCS>MCS Setup>Middle Class Scholarship Setup
Main Menu>CAL Components>Financial Aid>PLUS Loans>Link PLUS Loans:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>PLUS Loans>Link PLUS Loans
Main Menu>CAL Components>Financial Aid>PLUS Loans>Load PLUS Loans:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>PLUS Loans>Load PLUS Loans
Main Menu>CAL Components>Financial Aid>PLUS Loans>Process PLUS Loans:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>PLUS Loans>Process PLUS Loans
Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC Batch Checklist Assign:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC Batch Checklist Assign
Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC Lifetime Checklist Config:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC Lifetime Checklist Config
Main Menu>CAL Components>Financial Aid>PLUS Loans>PLUS Loan Configuration:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>PLUS Loans>PLUS Loan Configuration
Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC POP Selection Event ID Conf:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC POP Selection Event ID Conf
Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC Query Parameter Config:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>UC Checklist Assignment>UC Query Parameter Config
Main Menu>CAL Components>Financial Aid>Award Aggregates>Loan Aggregate Update:0:Add Update/Display,x,Main Menu>CAL Components>Financial Aid>Award Aggregates>Loan Aggregate Update
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Aid Year Setup:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Aid Year Setup
Main Menu>Financial Aid>Financial Aid Term>Build FA Term in Batch:0:Add Update/Display,x,Main Menu>Financial Aid>Financial Aid Term>Build FA Term in Batch
Main Menu>Financial Aid>Financial Aid Term>Create FA Term Driver Records:0:Add Update/Display,x,Main Menu>Financial Aid>Financial Aid Term>Create FA Term Driver Records
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Run Equation:0:Add Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Run Equation
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Print Equations:0:Add Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Print Equations
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Programs:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Programs
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Award Messages:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Award Messages
Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Groups:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Budgets>Budget Groups
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Aid Processing Rule Setup:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Aid Processing Rule Setup
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Area for Institution:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Aggregate Area for Institution
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Careers for School Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Careers for School Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Create Proration Rules:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Create Proration Rules
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Application Prompts:0:Add Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Application Prompts
Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Global Space:0:Add Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Equation Engine>Equation Global Space
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Define Rules for Return:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Define Rules for Return
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Campus OPEID Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Campus OPEID Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>COD>Credential Cross Reference:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>COD>Credential Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>View COD XML Fields:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>View COD XML Fields
Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Search/Match Rules:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>External Awards>Search/Match Rules
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Define EDI Business Unit:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Define EDI Business Unit
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Define Federal Aid Years:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Define Federal Aid Years
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Guarantor Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Guarantor Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Keywords:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Keywords
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Define School Guarantors:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Define School Guarantors
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Define Loan Institutions:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Define Loan Institutions
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Define School Lenders:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Define School Lenders
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Lender Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Lender Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Reassign Loan Agencies:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Reassign Loan Agencies
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Create Loan Destinations:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Create Loan Destinations
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Create Loan Edit Sets:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Create Loan Edit Sets
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Define Serial Promissory Notes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Define Serial Promissory Notes
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Maintain Loan Action Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Maintain Loan Action Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Maintain Loan Transfer ID:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Maintain Loan Transfer ID
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Create Loan Types:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Create Loan Types
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Define School Servicers:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Define School Servicers
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>COD Routing ID Cross Reference:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>COD Routing ID Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Maintain CRC Loan Status Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Maintain CRC Loan Status Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Loan Participants:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Loan Participants
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Loan Edit Sets:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CR CommonLine>Create CRC Loan Edit Sets
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>NSLDS OPEID Cross Reference:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Loan Counseling>NSLDS OPEID Cross Reference
Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Define Careers for Prospects:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>File Management>Define Careers for Prospects
Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Reconciliation Periods:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Reconciliation Periods
Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Restricted Aid Table:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Awards>Restricted Aid Table
Main Menu>Set Up SACR>Product Related>Financial Aid>College Financing Plan:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>College Financing Plan
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Loan Servicer Codes:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>CommonLine 4>Maintain Loan Servicer Codes
Main Menu>Set Up SACR>Common Definitions>Self Service>Financial Aid>Self Service Options:0:Add Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Self Service>Financial Aid>Self Service Options
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>School Code Table:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>School Code Table
Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Create User Edit Messages:0:Add Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Disbursement>Create User Edit Messages
Main Menu>Financial Aid>File Management>ISIR Import>CPS Reject/Assumption Report:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>CPS Reject/Assumption Report
Main Menu>Financial Aid>File Management>ISIR Import>ISIR Suspense Detail Report:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>ISIR Suspense Detail Report
Main Menu>Financial Aid>File Management>NSLDS>NSLDS FAT Load Error Report:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>NSLDS>NSLDS FAT Load Error Report
Main Menu>Financial Aid>File Management>ISIR Corrections>Process ISIR Corrections:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>Process ISIR Corrections
Main Menu>Financial Aid>File Management>INAS Batch Calculation:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>INAS Batch Calculation
Main Menu>Financial Aid>File Management>ISIR Import>Process ISIRs:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>Process ISIRs
Main Menu>Financial Aid>File Management>ISIR Corrections>Process ISIR Correction Errors:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>Process ISIR Correction Errors
Main Menu>Financial Aid>File Management>Import Federal Data Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Import Federal Data Files
Main Menu>Financial Aid>File Management>Create Federal Data Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Create Federal Data Files
Main Menu>Financial Aid>File Management>PROFILE Import>Load Records:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>PROFILE Import>Load Records
Main Menu>Financial Aid>File Management>NSLDS>Process NSLDS Request:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>NSLDS>Process NSLDS Request
Main Menu>Financial Aid>File Management>NSLDS>Update Aggregates with NSLDS:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>NSLDS>Update Aggregates with NSLDS
Main Menu>Financial Aid>File Management>NSLDS>Process NSLDS Files:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>NSLDS>Process NSLDS Files
Main Menu>Financial Aid>File Management>Mass EFC Calculation:0:Add Update/Display,x,Main Menu>Financial Aid>File Management>Mass EFC Calculation
