NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Phones:1:Correction,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Phones
,x,
Main Menu>CAL Components>Financial Aid>External Awards>External Award Tester:0:Add,x,Main Menu>CAL Components>Financial Aid>External Awards>External Award Tester
Main Menu>Campus Community>Task Management>View Task Activity:0:Add,x,Main Menu>Campus Community>Task Management>View Task Activity
Main Menu>Campus Community>Checklists>Person Checklists>Person Checklist Summary:0:Update/Display,x,Main Menu>Campus Community>Checklists>Person Checklists>Person Checklist Summary
Main Menu>Campus Community>Checklists>Person Checklists>Person Tracking Inquiry:0:Update/Display,x,Main Menu>Campus Community>Checklists>Person Checklists>Person Tracking Inquiry
Main Menu>Campus Community>Checklists>Person Checklists>Person Tracking Summary:0:Update/Display,x,Main Menu>Campus Community>Checklists>Person Checklists>Person Tracking Summary
Main Menu>Campus Community>Comments>Comments - Person>Person Comment Detail:0:Update/Display,x,Main Menu>Campus Community>Comments>Comments - Person>Person Comment Detail
Main Menu>Campus Community>Comments>Comments - Person>Person Comment Summary:0:Update/Display,x,Main Menu>Campus Community>Comments>Comments - Person>Person Comment Summary
Main Menu>SCI Enhancements>Communication Center>Communication Center - Admin:0:Update/Display,x,Main Menu>SCI Enhancements>Communication Center>Communication Center - Admin
Main Menu>SCI Enhancements>Communication Center>Apply Message:0:Update/Display,x,Main Menu>SCI Enhancements>Communication Center>Apply Message
Main Menu>Campus Community>Communications>Person Communications>Communication Detail:0:Update/Display,x,Main Menu>Campus Community>Communications>Person Communications>Communication Detail
Main Menu>Campus Community>Communications>Person Communications>Communication Summary:0:Update/Display,x,Main Menu>Campus Community>Communications>Person Communications>Communication Summary
Main Menu>Campus Community>Communications>Person Communications>Communication Letter Data:0:Update/Display,x,Main Menu>Campus Community>Communications>Person Communications>Communication Letter Data
Main Menu>Campus Community>Communications>Organization Communications>Org Communication Summary:0:Update/Display,x,Main Menu>Campus Community>Communications>Organization Communications>Org Communication Summary
Main Menu>Campus Community>Communications>Organization Communications>Org Communication Letter Data:0:Update/Display,x,Main Menu>Campus Community>Communications>Organization Communications>Org Communication Letter Data
Main Menu>Campus Community>Communications>Organization Communications>Org Communication Detail:0:Update/Display,x,Main Menu>Campus Community>Communications>Organization Communications>Org Communication Detail
Main Menu>SCI Enhancements>Communication Center>Communication Center - Admin:1:Update/Display,x,Main Menu>SCI Enhancements>Communication Center>Communication Center - Admin
Main Menu>Financial Aid>Aid Year Activation>Manage Financial Aid Years:0:Update/Display,x,Main Menu>Financial Aid>Aid Year Activation>Manage Financial Aid Years
Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>Citizenship>Citizenship and Passport:1:Update/Display,x,Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>Citizenship>Citizenship and Passport
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 23/24:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 23/24
Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 15/16:0:Update/Display,x,Main Menu>CAL Components>Financial Aid>UCB Cal ISIR>Cal ISIR Use>Cal ISIR Suspense Mgmt 15/16
