Menu,Menubar,MENUITEM2,Page,Display only,Actions,7
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_PERSONAL_INFO,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_BIO_DEMO_REG,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_BIO_DEMO_CITI,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_HE_PERSON,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_BIO_DEMO_VISA,0,6,6
CC_SERVICES_DATA,USE,EXTERNAL_SYSTEM_ID,EXTERNAL_SYSTEM_ID,0,6,6
CC_SERVICES_DATA_STDNT,USE,EXTERNAL_SYSTEM_ID,EXTERNAL_SYSTEM_ID,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_COURSE_LISTS,COURSE_LIST_DESCRIPTION,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_COURSE_LISTS,COURSE_DETAIL,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_COURSE_LISTS,COURSE_DETAIL_PARMS,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_REQUIREMENTS,REQUIREMENT_LINE_ITEM,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_REQUIREMENTS,REQUIREMENT_PARAMETERS,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_REQUIREMENTS,REQUIREMENT,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_REQUIREMENTS,CRSESHARE_WRK,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_REQUIREMENTS,REQUIREMENT_LINE_ITEM_PARMS,0,6,6
DEFINE_ACADEMIC_REQUIREMENTS,SETUP,ACADEMIC_REQUIREMENTS,REQUIREMENT_LINE_ITEM_DETAIL,0,6,6
DEFINE_STUDENT_ADMINISTRATION,SETUP,INSTRUCT_MODE,INSTRUCT_MODE,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,CLASS_SCHED_INT,CLASS_SCHED_INT,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,COURSE_ATTRIBUTES,COURSE_ATTRIBUTES,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,INSTRUCTOR_ADVISOR_TABLE,INSTR_ADVISOR2,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,INSTRUCTOR_ADVISOR_TABLE,INSTRUCTOR/ADVISOR_TABLE,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,INSTRUCTOR_ADVISOR_TABLE,UC_INSTR_ADV_ADDL,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,INSTRUCTOR_ADVISOR_TABLE,SSR_HE_INST_ADV,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,RQ_DESIGNATION_TBL,RQ_DESIGNATION_TBL,0,6,6
DEFINE_STUDENT_RECORDS,SETUP,SSR_CRSE_TYP_OFFER,SSR_CRSE_TYP_OFFER,0,6,6
DESIGN_ACADEMIC_STRUCTURE,SETUP,DYN_CLASS_TBL,DYN_CLASS_DATA_TBL,0,6,6
ESTABLISH_COURSES,INQUIRE,ENROLLMENT_REQUISITE_SUMMARY,REQUISITE_GROUP_DESCRIPTION,0,6,6
ESTABLISH_COURSES,INQUIRE,ENROLLMENT_REQUISITE_SUMMARY,WORK_PANEL,0,6,6
ESTABLISH_COURSES,SETUP,DYN_CLASS_DATES_TBL,DYN_CLASS_DATA_TBL,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_COURSE_LISTS,COURSE_LIST_DESCRIPTION,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_COURSE_LISTS,RQ_CRSE_LIST_DET,0,6,6
ESTABLISH_COURSES,SETUP,ENROLLMENT_COURSE_LISTS,RQ_CRSE_LST_DPR2,0,6,6
